state,county,air_connectivity,rail_intensity,infrastructure_quality,dock_presence,county_fips,community_resilience_value,community_risk_factor_value,cold_wave_risk_index_value,drought_risk_index_value,earthquake_risk_index_value,hail_risk_index_value,heat_wave_risk_index_value,hurricane_risk_index_value,ice_storm_risk_index_value,landslide_risk_index_value,lightning_risk_index_value,riverine_flooding_risk_index_value,strong_wind_risk_index_value,tornado_risk_index_value,wildfire_risk_index_value,winter_weather_risk_index_value,wage_trade_transport_utilities,wage_information,wage_prof_business,has_policy_signal,policy_direction_score
Alabama,Colbert County,0.6931471805599453,4.2626798770413155,0.6482558139534884,1.0,01033,2.65950298309326,1.12875923620139,218773.123152534,7950.95094035313,3457214.70913992,155909.418012988,549875.563881245,324624.444388521,113790.868872989,24434.5252464154,646670.136180255,542640.94098731,2110929.61860963,4850362.47231126,5618.95196790589,30304.3242744393,891.0,989.0,1033.0,,
Alabama,Conecuh County,0.3364722366212129,3.295836866004329,0.5892857142857143,0.0,01035,2.45477199554443,1.33781051557014,0.0,79637.6996436173,56339.8221813955,18582.487164538,50054.3275790876,3820288.46088141,1129.92182406218,29898.0124839749,183903.221744136,30255.0839673548,273796.783644355,1275567.26781013,28921.6692290364,5924.30645003192,857.0,1326.0,710.0,,
Alabama,Coosa County,0.0,2.6390573296152584,0.5833333333333334,0.0,01037,2.48202610015869,1.22294040229767,0.0,632.817422812129,84417.0583543622,20076.4111919657,70678.4251133328,258246.911343208,24106.534854957,26835.3739156343,63103.464746477,15873.2187116081,84992.6161685238,678932.469479114,10393.6844835508,3414.7919103185,921.0,3128.0,1793.0,,
Alabama,Covington County,0.7419373447293773,3.4011973816621555,0.6340361445783133,0.0,01039,2.53026509284973,1.25814921824006,0.0,264247.92668607,120855.951561551,30658.2615258803,301061.567348278,32597703.0154435,3249.44860094094,92222.4365310185,805988.861118082,544110.41183426,309688.206175977,3483983.50488198,42938.8685356661,17896.441883504,969.0,923.0,890.0,,
Alabama,Crenshaw County,0.0,0.0,0.716374269005848,0.0,01041,2.47991394996643,1.26033755257798,0.0,60239.3541458509,52674.7042206731,21717.9285914146,96554.0198162835,3483062.95775543,2425.96636508882,27064.6682553693,170485.481710446,64645.443773445,261055.862617594,1368920.75178775,3952.15956977103,6933.86179848635,892.0,1039.0,873.0,,
Alabama,Cullman County,0.6931471805599453,3.218875824868201,0.6158536585365854,0.0,01043,2.54840707778931,1.18489049087256,370322.228143094,39910.1247121243,1823510.64770104,97885.6630510097,68462.2773527917,1183430.83491033,188167.681741315,35363.3597617372,328773.816032362,76353.2725112638,1964710.32736315,5635082.32667122,7409.58301599688,28324.2597252966,912.0,1093.0,929.0,,
Alabama,Dale County,1.308332819650179,3.9889840465642745,0.7135922330097088,0.0,01045,2.48650288581848,1.32154530461168,0.0,281676.999697152,94142.066820272,112585.046029219,96012.1740042194,12849773.5351069,5629.36934550071,29411.0408180511,688136.105071232,506742.276344459,137610.156726681,4862784.2515283,17335.9146335268,37535.3539743899,1006.0,1329.0,1204.0,,
Alabama,Dallas County,0.5306282510621704,4.718498871295094,0.6155555555555555,0.0,01047,2.57343697547913,1.35116327412328,0.0,50015.5683236222,568720.950175552,79161.9757888756,462780.462732087,2091287.30830623,11450.582206731,25745.9318396505,269093.135812663,540226.109056375,376801.896676622,3365221.01398564,9357.41184976873,7021.82577330554,734.0,991.0,705.0,,
Alabama,DeKalb County,0.6931471805599453,3.688879454113936,0.6233333333333333,0.0,01049,2.46369791030884,1.31820157406029,680590.187522523,124210.2946299,1741072.66748636,200407.460451023,68678.461074949,875745.404860602,223821.390405848,30349.7081598113,269289.920169535,826433.041840576,1011077.54588015,5447399.62801356,9844.92732509379,217797.815352977,841.0,1290.0,801.0,,
Alabama,Elmore County,0.5306282510621704,2.833213344056216,0.6311881188118812,0.0,01051,2.62420797348022,1.0779495760873,0.0,44602.8658644565,368808.202775424,132209.045619194,847029.097345971,1288194.43210522,21903.3022421594,22588.5489371419,647244.523547313,1224023.71641162,388177.314007503,2716883.84701768,15285.4142672876,10850.7389173539,731.0,1378.0,1270.0,,
Alabama,Escambia County,0.8754687373538999,4.276666119016055,0.6,0.0,01053,2.47683191299438,1.39980241896336,0.0,290592.484564016,158072.364571996,44850.8641804144,1880864.26516176,43912948.8282049,2029.61057638643,28207.2767089938,945533.352286909,751289.536776513,421309.382309174,3554910.51695193,386314.923606384,20070.4151437271,850.0,1316.0,853.0,,
Alabama,Etowah County,0.6931471805599453,4.110873864173311,0.7415254237288136,0.0,01055,2.61223697662354,1.15264321552317,0.0,11430.7741620113,2203977.9066071,55719.3174148122,885978.113837038,740914.276804377,20226.6071646536,173449.466628259,162132.804302787,45472.2880642587,1191739.45963041,17527743.7677589,6412.10710289517,27753.5916898079,796.0,952.0,851.0,,
Alabama,Fayette County,0.3364722366212129,3.044522437723423,0.6478494623655914,0.0,01057,2.49525809288025,1.33399629979698,0.0,11927.6227699269,437928.155140655,46305.9572609582,191110.788267725,417714.639824987,106638.242785861,28688.3692318446,123173.432327166,42054.4829856445,304000.565553619,1818177.78567989,4885.35960926387,7005.60494925076,678.0,1197.0,1111.0,,
Alabama,Franklin County,0.3364722366212129,3.1780538303479458,0.6958762886597938,0.0,01059,2.46805000305176,1.33079516023098,176079.995790622,1408.28212792869,1072903.9180011,141478.024898746,362859.332620808,344945.200693574,64258.6790813733,28996.3577571222,220515.058424416,88158.6346870482,876620.551143229,7026229.34911362,7276.88873486417,23364.6645600538,678.0,1241.0,928.0,,
Alabama,Geneva County,0.5306282510621704,0.0,0.6560975609756098,0.0,01061,2.47417998313904,1.31383692986105,0.0,494420.64938737,84536.2843004339,54396.9272847783,50622.198390908,6952988.99982662,2686.20262187426,28900.9350882171,394698.534119258,1107017.88872253,282457.446422999,959576.416554607,21782.854423565,19112.2270110598,830.0,0.0,723.0,,
Alabama,Greene County,0.0,4.248495242049359,0.7107843137254902,0.0,01063,2.3811240196228,1.54570529486508,0.0,12533.9962701261,288297.634696743,131138.610074495,87713.8411961365,485338.396212806,4463.50526141927,33876.6106210496,83623.2395263206,82524.6847778753,166918.921928807,1063388.93088297,3951.03599249431,14985.1829542328,557.0,0.0,1540.0,,
Alabama,Hale County,0.3364722366212129,3.044522437723423,0.7203389830508474,0.0,01065,2.43900299072266,1.51842487581516,0.0,7611.07940372111,374226.113909448,94694.0776514389,200669.702440274,646936.181064618,5508.531561883,30894.633038185,161495.132378603,150297.397724963,259109.148354888,1986847.13404646,7234.83506261724,6679.96753470386,702.0,1110.0,862.0,,
Alabama,Henry County,0.7419373447293773,3.332204510175204,0.706766917293233,0.0,01067,2.53959989547729,1.1759204678432,0.0,492071.785885864,42946.2715039952,37433.7118719121,36843.506567883,3432588.58693556,2044.46919780656,26866.6678567158,155869.348174351,105654.327540464,123570.995557753,1787531.39422598,6102.31828357462,22538.5316454024,967.0,1593.0,1496.0,,
Alabama,Houston County,0.0,4.31748811353631,0.7348178137651822,0.0,01069,2.65178298950195,1.25986250935424,0.0,751707.292631478,422004.71131846,67498.0190250228,293994.040497669,28686554.1032787,10737.8474898408,23202.0865781425,830846.023625796,4425746.83871329,827892.497687723,11559608.0728006,38030.1816490071,69711.2874138255,1024.0,1061.0,911.0,,
Alabama,Jackson County,0.5306282510621704,4.442651256490317,0.6257961783439491,0.0,01071,2.48338294029236,1.23221372592129,522744.017018202,141607.089489661,1652853.4323362,134848.050173956,46243.5673430731,341369.191852518,206382.028075145,58807.9268527451,315703.824771279,694740.386202272,737567.804314391,6933406.83801612,5605.43675424787,136669.139966048,680.0,2477.0,1026.0,,
Alabama,Jefferson County,0.9162907318741552,5.765191102784844,0.5870786516853933,0.0,01073,2.71468710899353,1.20989133317046,0.0,2777.55303955001,11024659.358206,168194.584541774,3363042.3945919,4067587.1755798,40692.5598856649,195112.212798302,967222.098738905,63120913.6773124,1283834.96799908,56222335.4718897,53980.7452915349,55094.289780671,1173.0,1554.0,1472.0,,
Alabama,Lamar County,0.0,3.6635616461296463,0.6187845303867403,0.0,01075,2.445552110672,1.28217407887868,0.0,27683.3146061225,486002.353077122,131934.968389446,86277.4891362373,324550.865976428,116120.5486708,28014.4274259581,259201.086783501,212016.485148536,321449.065354994,1552787.77112822,4175.94987096138,29053.1884096487,827.0,1126.0,1134.0,,
Alabama,Lauderdale County,0.0,2.833213344056216,0.706766917293233,1.0,01077,2.61322498321533,1.11505639957005,339924.290360224,7304.39436126919,4353688.4215672,90562.7513401219,980182.933593555,429947.640668258,136569.127926702,24770.020382738,446816.758976608,1276973.11199518,807535.885840314,7687750.81709757,10828.7601999324,61592.7656404219,755.0,918.0,926.0,,
Alabama,Lawrence County,0.5306282510621704,3.367295829986474,0.7465116279069768,0.0,01079,2.51563596725464,1.17992856260485,180681.335748265,17633.8967842764,1144779.54606419,75677.7351059433,396606.694613603,309072.687924923,47163.9690195045,23200.6736706443,214442.063166289,257702.322718106,590210.758487208,5391917.61039913,4330.25443501295,21092.3483351953,847.0,1089.0,1551.0,,
Alabama,Lee County,0.6931471805599453,4.127134385045092,0.6962616822429907,0.0,01081,2.58555793762207,1.08997301807783,0.0,90495.252397707,960944.723300903,85945.1489206441,1704034.44495985,4481870.32066181,24650.3480913048,133749.917282895,699844.884384284,676306.870739067,643942.869991842,2840768.49584099,36153.2718427914,16242.2280167521,883.0,1694.0,794.0,,
Alabama,Limestone County,0.6931471805599453,3.7612001156935624,0.7145061728395061,1.0,01083,2.66667604446411,1.05478709993462,324813.534332271,241432.531155469,3514301.80152897,73144.28432812,797528.543705633,355423.087874846,197198.55970782,22623.872767061,383740.262318153,532822.335779526,983807.678399886,6633536.02987431,20397.4599967555,186987.526546946,943.0,1311.0,1168.0,,
Alabama,Lowndes County,0.0,3.871201010907891,0.7101910828025477,0.0,01085,2.4693648815155,1.51966491699925,0.0,217954.817516429,85489.6748521689,51351.9807654701,111037.345966496,630249.672994463,3683.42196463425,31778.2974751803,155240.078553872,99208.9416452114,207116.881066837,1649103.22187978,4257.06395761749,10846.7224528904,714.0,0.0,1294.0,,
Alabama,Macon County,0.3364722366212129,3.295836866004329,0.5706214689265536,0.0,01087,2.56868290901184,1.30085311153873,0.0,63536.2764300792,133983.938363597,83609.6436768601,227665.727558762,1011722.26364772,7187.1748170565,29628.9100682964,115306.867191091,54960.1788596989,151618.295382815,846807.989346172,9578.42732849293,2920.03695300373,520.0,0.0,867.0,,
Alabama,Madison County,0.6931471805599453,3.9889840465642745,0.7028169014084507,0.0,01089,2.71086502075195,1.00295039694586,942198.49233713,21601.7619623106,9385535.49267589,215888.226075768,4556838.12500467,1025911.10872393,502814.68694874,115590.154453797,2735589.82858127,1217425.74030477,2077547.02952551,28328735.687632,53686.4839490958,785648.753762976,910.0,1765.0,1905.0,,
Alabama,Marengo County,0.5306282510621704,4.718498871295094,0.7758620689655172,0.0,01091,2.50889205932617,1.29455249418721,0.0,37351.6009796291,333217.995169028,57628.1952283947,119573.082353542,1303904.89286932,7246.57399065773,28411.4866263433,76048.320669216,111268.96411998,348800.18147239,2444406.6005755,6094.42617095698,26070.7538627104,908.0,1471.0,1078.0,,
Alabama,Marion County,0.3364722366212129,3.091042453358316,0.6882352941176471,0.0,01093,2.44520401954651,1.28153811091136,0.0,784.740308636665,1041466.35081143,169025.982831667,216946.770650828,463908.324885448,52960.7440718625,27483.623381423,274529.322697425,94252.348536826,556866.806345914,4961318.68045455,5189.60551809707,19848.1074824149,747.0,1295.0,553.0,,
Alabama,Marshall County,1.0986122886681098,2.833213344056216,0.6482558139534884,0.0,01095,2.55894899368286,1.30241220927928,252993.87200262,18677.863026718,2379522.88203145,144051.280757732,787339.362093562,1000408.11655989,220362.12786601,26971.5341053799,617002.068134076,225237.156536268,1733099.7555124,19743087.584302,7707.52265035939,42773.8116617258,809.0,1306.0,946.0,,
Alabama,Mobile County,1.8082887711792657,5.030437921392435,0.5915032679738562,1.0,01097,2.69112396240234,1.16140420260383,0.0,462818.316937824,1313529.88190645,268107.625521198,4258324.90631186,280910700.86749,111065.86679562,24689.6237739892,3902970.29114881,13533827.8830529,352181.805635041,9513364.01829874,3908543.64507515,130183.376576327,982.0,1496.0,1210.0,,
Alabama,Monroe County,0.3364722366212129,4.04305126783455,0.7605633802816901,0.0,01099,2.46185088157654,1.31945398288382,0.0,104029.968769678,94569.5317991706,43958.3477280172,170361.292423786,5835360.30039212,2096.72875650252,29669.8516941693,318594.760205347,41859.0968722998,163413.441621068,1325539.33447307,22945.528201344,11059.2108255719,830.0,926.0,972.0,,
Alabama,Montgomery County,1.0986122886681098,4.61512051684126,0.6786912751677853,0.0,01101,2.6659369468689,1.23641513984306,0.0,34567.8661720516,2579174.10069486,67862.5742832598,3826460.84655716,6283713.9885564,68550.0757284223,26810.2472112556,1016800.25974083,595887.910283099,1813661.80088295,13919919.0919611,30300.0221649469,19660.7676951621,991.0,1366.0,1124.0,,
Alabama,Morgan County,0.5306282510621704,3.713572066704308,0.6881918819188192,0.0,01103,2.59509992599487,1.20088478680456,410247.502140721,36436.408039676,4041315.14838669,126099.932869251,1368981.26624608,864969.858566239,210706.969055463,22821.7749774381,325160.396064149,1666994.51728291,1858664.3365519,24744221.4294537,13480.417152487,275343.577710771,948.0,1349.0,1036.0,,
Alabama,Perry County,0.1823215567939546,2.1972245773362196,0.5771604938271605,0.0,01105,2.42318892478943,1.40276395367376,0.0,22496.1681564166,153821.910486503,38634.9616724099,66656.3604130576,537527.179352546,1550.73944172425,28797.5813790715,65739.4489910583,16807.8882858072,85210.956452515,970631.660865085,2389.22648662782,2975.13233767184,557.0,,859.0,,
Alabama,Pickens County,0.4700036292457356,4.07753744390572,0.6673819742489271,0.0,01107,2.41339302062988,1.52805991242048,0.0,81977.4238236157,586366.531280255,108429.003846249,227833.794322237,678845.250490991,13076.8904590758,33299.73208797,280447.84121811,366350.346517307,288686.044795459,2736060.35835519,5486.50647520166,42772.3110307612,689.0,885.0,938.0,,
Alabama,Pike County,0.6931471805599453,4.060443010546419,0.7928994082840237,0.0,01109,2.5956768989563,1.24372337385323,0.0,196534.062289246,148067.77780323,108799.624516556,291209.807116226,6401185.96880392,6125.56589466742,26957.8819900067,375737.622874032,23573.2835248038,631479.761985859,1315202.357651,6193.26014909377,14886.0422906347,857.0,733.0,1256.0,,
Alabama,Randolph County,0.3364722366212129,3.4657359027997265,0.6636363636363637,0.0,01111,2.49518799781799,1.29525963194509,0.0,12078.4490572203,156820.605429737,67813.0358991455,159298.999562084,880183.554756664,25724.5609212587,28298.560811497,101847.828344931,180116.225700062,161650.835310551,1733575.24357243,31526.8499795933,10719.2616374365,760.0,978.0,1210.0,,
Alabama,Russell County,0.0,3.49650756146648,0.6585365853658537,0.0,01113,2.45254802703857,1.32363704233311,0.0,283563.005726883,184066.561145735,176214.907787419,545840.895612149,1396030.23646374,11460.6554771973,29639.0590284746,217925.653109492,148990.332774408,138793.282042916,1457889.88147025,13189.2393213365,30561.0729107022,695.0,1316.0,771.0,,
Alabama,Shelby County,0.6931471805599453,5.087596335232384,0.7005813953488372,0.0,01117,2.68868494033813,0.914847651194508,0.0,30080.9112920925,2298577.44599789,109763.887937348,1844611.75026107,1710515.65974023,41163.1420775124,151071.29758147,234949.26114906,407403.428811229,1064066.04729586,25292069.8569641,31299.9466805714,41440.3795590544,1241.0,1749.0,1411.0,,
Alabama,St. Clair County,0.6931471805599453,4.477336814478207,0.6284153005464481,0.0,01115,2.59195590019226,1.0572727321594,0.0,17921.4490915175,920401.550509415,38200.8019104931,865215.237056223,449335.476996174,21195.8610302921,130541.734883564,618794.068897488,344767.300258441,877621.186145842,8061599.20657792,8079.46234765826,24062.8261300883,815.0,1155.0,1046.0,,
Alabama,Sumter County,0.0,3.332204510175204,0.7157676348547718,0.0,01119,2.39709997177124,1.54397531855889,0.0,35663.0592448506,567504.526947971,60375.8095108049,142081.49837296,1272661.67671907,8189.36482817613,34938.9417553371,134598.905294348,571531.085401328,429321.297842043,3177133.91683176,9109.18800277457,26960.6765435019,625.0,1654.0,1245.0,,
Alabama,Talladega County,0.9932517730102832,4.976733742420574,0.7078189300411523,0.0,01121,2.54964804649353,1.3123286354048,0.0,30413.6215126585,1047991.37955025,84797.9807471874,600114.23470663,1693581.23536918,23122.7602041535,156754.679201461,628746.414344417,154739.886010102,457936.568651533,8063470.80731189,14976.9798608828,42795.8412905149,890.0,1478.0,830.0,,
Alabama,Tallapoosa County,0.6931471805599453,3.5263605246161616,0.6174496644295302,0.0,01123,2.56961989402771,1.36721803903948,0.0,10678.4231094593,445421.856501214,53661.0206750086,517406.728141647,2081864.86319659,22033.4199724124,29152.2179797223,443851.012604388,87394.0858795173,140286.752922593,2425376.04789124,25009.5480999377,12068.8819618862,828.0,1134.0,825.0,,
Alabama,Tuscaloosa County,0.9162907318741552,4.68213122712422,0.7199170124481328,0.0,01125,2.67324495315552,1.08408587317061,0.0,13121.9849867053,4565022.73281193,101253.738870443,3588835.98703064,3500096.48439192,59081.1450847551,143519.703333243,606624.532310224,1679241.16404947,868121.091493591,17349374.8027267,22248.9689767391,48658.94526386,859.0,1751.0,1203.0,,
Alabama,Unknown Or Undefined,,,,,,,,,,,,,,,,,,,,,,2260.0,0.0,1388.0,,
Alabama,Walker County,0.5306282510621704,4.727387818712341,0.6545454545454545,0.0,01127,2.48361802101135,1.31762703267398,0.0,8252.29336832106,1857906.39740704,408238.993429744,768935.500997897,425524.713001185,212205.037821425,160868.850148138,144881.462274597,325286.275803012,1181202.24684833,8602834.09850476,10652.9375552858,24463.4703115063,813.0,1379.0,1092.0,,
Alabama,Washington County,0.0,3.367295829986474,0.6101694915254238,0.0,01129,2.61245393753052,1.17561267759164,0.0,33267.3997465374,69836.5239306276,205801.336633734,151300.097939923,5011222.60666473,35459.8858092155,25368.8597760682,78833.4918559543,152677.930685155,397041.282808975,1596123.2450063,131943.036721222,10856.7086835298,1182.0,0.0,1626.0,,
Alabama,Wilcox County,0.3364722366212129,3.9889840465642745,0.5773809523809523,0.0,01131,2.40328598022461,1.46621953665089,0.0,16046.3253428696,94713.4523036521,13282.9095736097,101396.238469345,1263761.59351864,2170.54137274067,31979.9765549771,95144.3032833804,89036.4991963317,172992.715146506,1028142.7816755,6170.82928481784,10150.0551639302,808.0,1179.0,859.0,,
Alabama,Winston County,0.3364722366212129,3.1780538303479458,0.6346153846153846,0.0,01133,2.46191000938416,1.3477352073728,0.0,321.890055306006,1058376.06568855,88986.9379150589,284696.88124153,308679.519773689,38798.1393977245,29791.5262330117,200048.633964721,42812.1742038198,597831.944280628,2644447.4831979,7055.59670310623,12748.4769519897,853.0,810.0,815.0,,
Alaska,Aleutians East Borough,1.5475625087160128,0.0,0.625,1.0,02013,2.25599002838135,1.59395921230316,0.0,0.0,495029.982812259,0.0,0.0,,1205.07346444738,,,0.0,0.0,74.7134008961355,5.2071808631197,19576.208934762,983.0,479.0,0.0,,
Alaska,Aleutians West Census Area,1.589235205116581,0.0,0.875,1.0,02016,2.36169910430908,1.36558229282929,0.0,0.0,3177505.21627464,0.0,0.0,,1595.65337764736,,,0.0,0.0,5.46668850050815,0.0,17666.4299116916,1897.0,1562.0,1394.0,,
Alaska,Anchorage Municipality,1.5686159179138452,4.68213122712422,0.7425373134328358,1.0,02020,2.60219693183899,1.20546645134571,0.0,0.0,92491216.5776754,19632.462999658,0.0,,26936.4917088906,,,363254.057935031,0.0,199.151735563735,443578.109268255,44202.7136684762,1319.0,1739.0,1557.0,,
Alaska,Bethel Census Area,2.833213344056216,0.0,0.7307692307692307,1.0,02050,2.5589439868927,1.66835970969586,143130.426773831,0.0,77813.3353375907,94.8753451990848,0.0,,2985.61780801827,,,1424226.00058832,139.453191601832,1229.37529584638,439683.447478937,160878.445775942,640.0,0.0,918.0,,
Alaska,Bristol Bay Borough,1.33500106673234,0.0,1.0,1.0,02060,2.55990195274353,1.14050781726837,0.0,0.0,71624.9933209851,0.0,0.0,,176.633717698859,,,0.0,0.0,1.47184004089325,22283.9715963801,5566.34696833178,1329.0,0.0,2317.0,,
Alaska,Chugach Census Area,1.6292405397302805,0.0,0.6590909090909091,0.0,02063,2.57348704338074,1.12334111689339,5375.84823642164,0.0,1310964.91460388,33.083194134598,0.0,,1338.27950154773,,,1222.08562080657,0.0,3.22746320547221,607.890201019465,39562.5333356629,1864.0,1536.0,1835.0,,
Alaska,Copper River Census Area,1.1314021114911006,0.0,0.7019230769230769,0.0,02066,2.67736291885376,1.27026629447937,0.223249830584181,0.0,324971.521914598,32.1795444219118,0.0,,584.163170430784,,,0.0,0.0,1.7297342588292,120452.979182144,2433.0972974108,972.0,1766.0,0.0,,
Alaska,Denali Borough,0.6931471805599453,4.48863636973214,0.5740740740740741,0.0,02068,2.46056199073792,1.08685445785522,4770.09450002677,0.0,361375.361494564,9.34380779757604,0.0,,165.80860573391,,,0.0,0.0,1.82725588327563,605453.195069396,38.547373326331,1315.0,393.0,2155.0,,
Alaska,Dillingham Census Area,1.9315214116032136,0.0,0.3333333333333333,0.0,02070,2.50036907196045,1.73253735818514,0.0,0.0,43139.3417861582,6.18929171481412,0.0,,1507.42121069173,,,328449.712423299,0.0002563925577981,5.51121356374757,35203.4964333508,20555.8239807102,724.0,0.0,1283.0,,
Alaska,Fairbanks North Star Borough,0.0,4.276666119016055,0.7162162162162162,0.0,02090,2.60394597053528,1.08376529324227,1251367.18900169,0.0,10338607.4101435,1248.90990638219,0.0,,10829.0536723653,,,631564.408058862,0.0,70.5454133278909,10895490.2941022,2954.99660274573,1066.0,1583.0,1350.0,,
